Function Name, Cumulative Stack Size, Branch Type
"Diag_LSM_RxThread",5712,Recursive
"tCnXT2UU24CtTaanCHJ",5704,Recursive
"SCHluzF4q2XUaTC9",5688,Closed
"J6T9XHat4TPvtC",5480,Closed
"9qTdHqq",5408,Closed
"JaGCnT6hCaXCQ46VUXn",5408,Closed
"6T9XHXTaJtnC6",5368,Closed
"RaOTQPtXTqaHCJT29",5360,Closed
"8IThhhCnHtnTC4qVUXnTC9",5320,Closed
"QRlSCXu42HnztHa2nCHJ",5320,Closed
"RlSVORF4XQUUnQCXV4C",5264,Closed
"4ClHntra242q4TVzTu9",5248,Closed
"8hCFHnXJ2JVFH6V4qT4GaTa9",5216,Closed
"H2nfXT2CU24C8TVaHh8H",5216,Closed
"C7fahnTXCVa",5152,Closed
"H2t4n2HaVqTC4XT49",5112,Closed
"kTQDpBG7q40VUXnDCXXPhCC4TVQCnUq9T2",5112,Closed
"f8T77Tq34pH2X4TVD",5104,Closed
"nCXUUCVTaX9HhVTH",5104,Closed
"HfTof2aXn246ThGCqhnTXTV9",5088,Closed
"TnCUVXaX9HhVTH",5072,Closed
"fT9XH44U2f2VGCavTH64anaT28nXCJHT4ntqC",5040,Closed
"qpDBkTU7_GXVCC2DYn8aJXCUCTVUXnaq9TmaQa",5032,Recursive
"aGqTUXXTC9",5024,Recursive
"T9XH4JT68tIH2LC2GtT4",4984,Closed
"TRrSqhhcvTP9",4920,Closed
"cTQ4QjOT2m4C7tV27HTVVUXoVCy",4840,Recursive
"JaGtnT6qPtH",4832,Closed
"6qToICTf9",4808,Closed
"evrc_enc_cb_func(void*, capi_v2_event_id_t, capi_v2_event_info_t*)",4808,Recursive
"efr_Coder_12k2",4792,Closed
"hPCq2THTP9qTCXXT49",4776,Closed
"BkT4pqD7QGXhUCV33nhHTIhtn8CUTCnXV4CWTqnQm9_aRFrq9TADpTFaFmTddTFaFAT",4760,Closed
"T9XHHHhPh2TXXTa6tnC6",4704,Closed
"capi_v2_cng_init",4704,Recursive
"ydD7CC4TVUXn",4624,Closed
"Xt4STafTX6HCqtHJ6TX9",4616,Closed
"thXPI8T4V2LHH2t4",4584,Closed
"CT7V42qXV4CTU9",4568,Recursive
"capi_v2_cng_raise_events(capi_v2_cng_t*)",4568,Recursive
"nVXTI7hqTCCXT49",4552,Recursive
"Xn7CCC4TVUXn",4544,Closed
"CqXHUDYT9",4520,Closed
"aPqTCqXT49",4464,Closed
"X7aC7VTT4422TCHX",4392,Closed
"4CTH242qVUXnTC9",4368,Closed
"6hTOQRHaCtJtTXC246T4G9qGVHUTV9",4344,Closed
"hrVXnCXrqRTrtQTz9",4336,Closed
"4CTqaPqTCUXT49",4304,Closed
"42RCBzUGG2ah3TH2JaPtTqCT69n",4288,Closed
"X7aC7VTT2CXU24TH",4272,Closed
"242nTXHUCVT8XCthPTa",4264,Closed
"faTCUVJCHX2TU6XmUCVTjn_",4264,Closed
"kTT2JeXHUqTma9TFFa",4264,Recursive
"CUTH242qVUXnTC9",4248,Closed
"C4QHClqGvnPUOo",4240,Closed
"ChCVTU4XmUCVTjn_",4192,Closed
"hPCXtqKHTKTY9",4152,Recursive
"sVc8zVXHnVCPnH2t4",4152,Closed
"2422TaHGno8TqCqa",4072,Closed
"wPt4VrXOr_V4OCPPTthhcv",4064,Closed
"zuFCzuTTUQXqU2VGT49",4064,Closed
"hC4l6tFC2uzU9XQHqH2t4TV9",4056,Closed
"JT6H4vaHJTChU83",4048,Closed
"JtaCnqPChPUOo",4048,Closed
"VXCnCq24TUGXmUCVTjn_",4048,Closed
"qUPXVTnoaHCnnTJCJVCv",4032,Closed
"BkTJqGiOV7Jv4eVSau4rq9TW_QRpTqFmF9T3aFmTF3TT3TFF3aF3TF3TF3T",4016,Closed
"hnCP",4016,Closed
"2Ca2V4qbT4qT69",4000,Closed
"vpm_session_cmdq_apr_msg_handler(void*, elite_msg_any_t*)",4000,Recursive
"capi_v2_amrwb_audio_dec_init",4000,Recursive
"76qTUIXTC9",3960,Recursive
"haTHXUJTXHC8JnUq4VCJTn9",3952,Closed
"GqpDBkTCQ47VUXnmdcDQjOT9VUOTqCQpaFmTFpTFa22pTFpTFpTFpT2",3944,Closed
"GtPHClqt2laT49",3928,Closed
"ltHFCoo844OVUnSnUP93Ch8TaqaHChTC9",3928,Closed
"J2dDkTHXHUUaTKTq9TaFma",3920,Recursive
"TnJtC2VUXTKCKHTDpo2Wa",3920,Closed
"PnCH42ht7CTaCCqHnXJT89",3904,Closed
"T7BDkqGpQDXV4CnUp0VUXTdWTp9QqaFmTTFpaFpTFpTFpTFpT",3904,Closed
"UnT2CHC4Pht7CTaCCqHnXJT89",3904,Closed
"hTydD7DCtaX6nd",3904,Closed
"7TytChqTUIXTC9",3880,Recursive
"BkTCpqD7_GXhUCV33nhHTIhtn8CUTUnXVCCmTqnQa9aTW_mRFrqpaF9TFpT",3880,Closed
"DBkTXqGpQ47VVCnUdXDUoTdWTf0Tp9QqaFmTTFpaFpTFpTFpTFpT",3880,Closed
"TnJtC2VUXTeCKHTdpo2Da",3856,Closed
"TnJtC2VUXTdCKHTDpo2Ka",3848,Closed
"venc_rec_buf_handler(void*)",3824,Recursive
"TnJtC2VUXT3CKHTDpo2Da",3808,Closed
"nJtC3XVTCTU2HpTKo2ia",3808,Closed
"capi_v2_ctm_rx_init",3784,Recursive
"To7P24ttvaPa",3776,Closed
"venc_send_rec_buf_to_afe(venc_t*, qurt_elite_bufmgr_node_t*)",3768,Recursive
"efr_code_10i40_35bits",3752,Closed
"loadtcg",3752,Recursive
"SigVerify_InitTCG",3736,Recursive
"UVXCUq4CThTP9",3712,Closed
"SigVerify_CheckForTestEnable",3704,Recursive
"is_test_enabled",3704,Recursive
"TofnJt2CXUJtT4",3696,Closed
"ofnJthUCTTtX2",3696,Closed
"TTWJkXHUqTma9TFFa",3648,Recursive
"mTcQQjOTXHaKtnC6",3648,Recursive
"SigVerify_FindandParseTestSig",3632,Recursive
"Tq64CGqV24CTa9",3632,Closed
"vpm_calibrate_dynamic(vpm_session_object_t*, unsigned long, vpm_dynamic_cal_usecase_enum_t)",3616,Recursive
"qqq2dTH9",3600,Closed
"vpm_calibrate_static(vpm_session_object_t*)",3592,Recursive
"kTQDpBG7q4iVUXnDChPhTh8PqTn4XCUCVTr9QqW_mRpTqFAF9TTaAmFdaFdTFKTFdT",3592,Closed
"capi_v2_dtmf_gen_process(capi_v2_t*, capi_v2_stream_data_t**, capi_v2_stream_data_t**)",3568,Recursive
"capi_v2_voice_gain_dep_iir_process(capi_v2_t*, capi_v2_stream_data_t**, capi_v2_stream_data_t**)",3568,Recursive
"Adm_DeviceOpenCmdLPCMHandler(AdmStaticSvc*, adm_cmd_device_open_t*, aprv2_packet_t*, unsigned char (*)(adm_cmd_device_open_t*), unsigned short*, qurt_elite_queue_t*)",3552,Recursive
"kT_DpBG7qCdVUXn3CXtPhCCnTaXnC8UCTVQCnUq9TmpaaaaFaT",3552,Closed
"vdec_vfr_decode_handler(void*)",3536,Recursive
"fKDkTHTq74X82a4TV3memfaagDem7TFrTrQcFqBT5zTj9",3536,Closed
"SigVerify_start_Ex",3528,Recursive
"AudioStreamMgr_OpenPushModeTxStreamCmdHandler",3520,Recursive
"nJtjoTfOQcmqKHTKTY9",3520,Closed
"AudioStreamMgr_OpenPullModeRxStreamCmdHandler",3512,Recursive
"nVXTI7hqTUCXTC9",3504,Recursive
"AdmSvc_AprMsgHandler(void*, elite_msg_any_t*)",3496,Recursive
"qiBkTV7OGJJV4h0GD4TCnTHVVfqTqmQa9aaaa",3496,Closed
"vpm_set_param_v3_to_dyn_svc",3488,Recursive
"HH9TXn2t6nnCTUC4Th47CPVCC",3472,Closed
"SigVerify_AuthWork",3472,Recursive
"H2hq6TXPTV9",3448,Closed
"SigVerify_start_impl",3448,Recursive
"voice_proc_mgr_work_loop(void*)",3440,Recursive
"voice_log_cal_data(unsigned long, unsigned long, unsigned long)",3432,Recursive
"voice_proc_mgr_process_channels(voice_proc_mgr*, unsigned long)",3416,Recursive
"VSM_svc_respQ_aprpkt_handler(voice_stream_mgr_t*)",3408,Recursive
"vsm_workloop(void*)",3400,Recursive
"KTmjQOcnYKHXVTC",3392,Closed
"vprx_data_handler(void*)",3392,Recursive
"aPT1hTHq9PXX",3392,Closed
"vdec_set_param_v3(void*, elite_msg_any_t*)",3384,Recursive
"venc_set_param_v3(void*, elite_msg_any_t*)",3384,Recursive
"vprx_set_param_v3_cmd(void*, elite_msg_any_t*)",3384,Recursive
"vptx_set_param_v3_cmd(void*, elite_msg_any_t*)",3384,Recursive
"Adm_DeviceOpenCmdLPCMDeviceLoopBackHandler(AdmStaticSvc*, adm_cmd_device_open_t*, aprv2_packet_t*, unsigned char (*)(adm_cmd_device_open_t*), unsigned short*, qurt_elite_queue_t*)",3384,Recursive
"C4XV4T8U7q2XVUTC9",3376,Closed
"VhnCH42TtHPTdCVtCn73TTPqhtPaTa9",3376,Closed
"2X9HtnTHCTa6tPXTh47CPVCC",3368,Closed
"Adm_DeviceOpenCmdCompressedHandler(AdmStaticSvc*, adm_cmd_device_open_t*, aprv2_packet_t*, unsigned char (*)(adm_cmd_device_open_t*), unsigned short*, qurt_elite_queue_t*)",3368,Recursive
"UVX4Cq4CThTP9",3360,Closed
"Adm_DeviceOpenCmdLPCMLoopBackHandler(AdmStaticSvc*, adm_cmd_device_open_t*, aprv2_packet_t*, unsigned char (*)(adm_cmd_device_open_t*), unsigned short*, qurt_elite_queue_t*)",3344,Recursive
"mvm_call",3344,Recursive
"mvm_call.1.0_i32_78464.2_i32_2",3344,Recursive
"mvm_call.1.0_i32_78464.2_i32_2",3344,Recursive
"TG4XTtnhJat84UTh9Tqo",3336,Closed
"VXCUmCnUj_TTThU8HCtXtGT4tnhJ",3336,Closed
"VSM_session_cmdQ_aprpkt_handler(vsm_session_object_t*)",3336,Recursive
"47TfoTfV4aC2avTHqCa6aT29",3312,Closed
"mvm_task",3296,Recursive
"T7BDkqGp_DXVCCnU0CCP4TUhX9UCVTqnQpaamaFaT",3288,Closed
"Adm_RxStRtrAfeConnectCmdHandler",3280,Recursive
"mvm_run_task",3272,Recursive
"Adm_UllppMultiChannelDeviceOpenCmdHandler",3264,Recursive
"UHJX9TnCHVUJPt8C",3256,Recursive
"t6qTCnHTa9",3256,Closed
"Cht6F8hCFHnXJ",3240,Closed
"9qTtUHf",3232,Closed
"afe_svc_custom_msg_handler",3224,Recursive
"BkTCpqD7_GXoUCVDKntTTnUHCtXmCX6Qaya",3216,Recursive
"JHJXXHTTCCXn27Cn",3208,Recursive
"afe_svc_apr_msg_handler",3200,Recursive
"AudioStreamMgr_CreatePPSvc",3192,Recursive
"afe_port_custom_cdc_int_handling",3192,Recursive
"capi_v2_voice_dtmf_det_get_static_properties",3176,Recursive
"UVXCUqHnT4Tt9",3168,Recursive
"capi_v2_g729ab_enc_init",3168,Recursive
"Adm_CreatePPSvc",3160,Recursive
"Adm_CreatePPSvc.1.0.4_i8_1",3160,Recursive
"CUThPC4qVUXnTC9",3160,Closed
"afe_port_apr_msg_handler",3152,Recursive
"nJtjoTfOQcmq3HTKTY9",3144,Closed
"aGt6nJqPTH",3136,Closed
"afe_ports_apr_dma_restart",3120,Recursive
"4a7JTCIX",3112,Closed
"afe_port_apr_dma_start(afe_dev_port*, aprv2_packet_t*)",3112,Recursive
"afe_err_handler_dev_recovery_msg(afe_dev_port*, elite_msg_any_t*)",3112,Recursive
"afe_port_hw_mad_interrupt_handler",3112,Recursive
"afe_port_dev_intf_reset(afe_dev_port*)",3088,Recursive
"HV9TX4XCUVnTCCJJnHT8vUthC",3080,Closed
"HV9TXCXUUVnTCCJJnHT8vUthC",3072,Closed
"VTn6JaGhC4hVVjjXGFttnC6",3064,Closed
"afe_port_modules_init_and_dev_start",3064,Recursive
"afe_port_alloc_resources(afe_dev_port*)",3056,Recursive
"XChFVn8HFJJVq62HGT49",3048,Closed
"afe_port_init_at_port_start",3048,Recursive
"afe_port_set_loopback_module_params",3048,Recursive
"Tq6qv4a6TH9",3040,Closed
"afe_port_re_init_sample_rate_dependent_modules",3032,Recursive
"afe_port_sw_mad_alloc_resources",3032,Recursive
"ataoThaqqPH2nTC9",3032,Closed
"vpm_svc_cmdq_apr_msg_handler(void*, elite_msg_any_t*)",3016,Recursive
"ak3TCtpvGCt624nTC2aUoPtUT7mmFpaa",3016,Recursive
"AudPP_CreateSvc",3008,Recursive
"afe_port_reconfig_loopback",3008,Recursive
"afe_port_enable_loopback",3000,Recursive
"tTUVXCUqnTJoTf9",3000,Recursive
"U4XVCT8U7q2XVUTC9",2992,Closed
"afe_port_reconnect_rx_loopback_client(afe_dev_port*)",2976,Recursive
"mvm_task_process_gating_commands",2976,Recursive
"T7BDkqGpQ3XV4CnUDL8t1H24CnuzTmtTtmaTJ9QqDBM4WMc1rzkQSTs_T19aqD0mM_BrckQSTDzTs9mqdSzTsB_SOaFTQ9aqa",2968,Closed
"capi_v2_ctm_tx_init",2968,Recursive
"TkDTf7Kq44X82VHTadmemgaFfTaDDem7TFrTrQcFqBT5zTs9",2960,Closed
"XUJ3DkTTTUHHKaqFma9TaFT",2952,Recursive
"pl_secboot_authenticate",2952,Recursive
"HTJHXV4CVCJUU",2944,Recursive
"afe_svc_aanc_work_loop(void*)",2936,Recursive
"vpm_create_full_session_cmd_ctrl(voice_proc_mgr*)",2912,Recursive
"i3WGUTCtXV4C",2912,Closed
"common_topo_init(elite_cmn_topo_db_entry_t*, unsigned short, unsigned long, topo_struct**, AudPP_AudProcType, unsigned long*, topo_event_client_t*, unsigned char, unsigned short, unsigned long, qurt_elite_queue_t*)",2896,Recursive
"vpm_register_device_config_cmd_ctrl(vpm_session_object_t*)",2888,Recursive
"a4ttvTPh",2888,Closed
"elite_framework_start",2888,Recursive
"XhXPJU3H",2864,Closed
"afe_port_custom_msg_handler",2864,Recursive
"JnhTXCU",2856,Recursive
"OTti3WGeUCVjUnt",2856,Closed
"afe_port_client_connect_handler",2856,Recursive
"StartEliteStaticService()",2848,Recursive
"__cxa_bad_cast",2848,Recursive
"AudPP_WorkLoop(void*)",2840,Recursive
"__cxa_bad_typeid",2840,Recursive
"pDBkTVG7q4XQUCnDCwFD49VUXTqCQpaFmTFpTapTFpTFa3amaaFgT",2840,Closed
"_Throw_bad",2832,Recursive
"3I6T4VTaC22qbC4HTX9",2824,Closed
"afe_aanc_process_cmd_q(afe_aanc_state*)",2824,Recursive
"vpm_find_vol_level_from_dynamic_cal(vpm_session_object_t*, unsigned long, unsigned long*)",2824,Recursive
"__cxa_throw",2824,Recursive
"vpm_enable_cmd_ctrl(vpm_session_object_t*, unsigned char)",2816,Recursive
"vsm_action_calibrate_static(vsm_session_object_t*)",2816,Recursive
